news,summary
"PHNOM PENH (Reuters) - Sweden said on Tuesday it was stopping new aid for Cambodia, except in education and research, and would no longer support a reform programme after the main opposition party was outlawed by the Supreme Court at the government s request. The announcement marked the first concrete action by a European Union country in protest at a political crackdown in which veteran Prime Minister Hun Sen s main rival has also been arrested and civil rights groups and independent media attacked. The United States cut election funding and said it would take more punitive steps after last week s ban on the Cambodia National Rescue Party (CNRP). The European Union has also threatened action. Sweden s embassy in Phnom Penh said the country was reviewing its engagement with Cambodia.   We will not initiate any new government-to-government development cooperation agreements, except in the areas of education and research,  it said in a statement. As a consequence, it would be unable to support decentralisation reform in its current form. That reform aims to strengthen lower levels of government, such as local communes. The CNRP won control of more than 40 percent of the communes in elections in June, but has now had to give them up to the ruling Cambodian People s Party (CPP). The CNRP was banned after its leader, Kem Sokha, was arrested for alleged treason. The government says he sought to take power with American help. He rejects that allegation as politically motivated, to allow Hun Sen to extend his more than three decades in power in next year s general election. Responding to the Swedish statement, a senior official said Cambodia welcomed friendship with Sweden or other countries, but said they must understand the CNRP had been banned because the courts found it had committed treason.      People should respect the Cambodian people s decision in accordance with the principle of democracy and the rule of law,  said Huy Vannak, undersecretary of state at the Interior Ministry. Sweden, which has given Cambodia an estimated $100 million in aid over five years, ranked third among individual EU member states in Cambodia s database of donors last year, after France and Germany. Swedish fashion group H&M is also a key buyer from Cambodia s garment factories - the country s main export earner. But Western donors have less sway than they once did since China has emerged as Cambodia s biggest aid donor and investor. Meeting on Monday on the sidelines of a meeting of Asia-Europe foreign ministers in Myanmar, Chinese Foreign Minister Wang Yi told his Cambodian counterpart Prak Sokhon that China supported the government s actions. China has repeatedly expressed its support for Cambodia, making no criticism of the government led by Hun Sen, a former Khmer Rouge commander, who is one of Beijing s most important allies in Southeast Asia.    (The story adds dropped word  after  in paragraph 1) ",Sweden stops some new aid for Cambodia in protest over crackdown
"UNITED NATIONS (Reuters) - United Nations Secretary-General Antonio Guterres  counts on the Security Council to remain united and take appropriate action  on North Korea, his political affairs chief, Jeffrey Feltman, said on Monday after Pyongyang conducted its sixth nuclear test.  Feltman warned the 15-member Security Council that  as tensions rise, so does the risk of misunderstanding, miscalculation and escalation.   The latest serious developments require a comprehensive response in order to break the cycle of provocations from (North Korea). Such a response must include wise and bold diplomacy to be effective,  Feltman told the council.  ","U.N. chief calls for united, 'appropriate action' on North Korea"
"WASHINGTON (Reuters) - Republicans in U.S. House of Representatives began staking out their positions on final tax legislation on Tuesday, days ahead of talks with the Senate to shape the tax package lawmakers hope to send to President Donald Trump by year end. While lawmakers expect a smooth reconciliation of rival House and Senate tax bills, House Republicans have taken issue with several items in the Senate’s legislation - from a one-year delay in cutting the corporate tax rate to 20 percent to the sunsetting of individual tax cuts after 2025. House Ways and Means Committee Chairman Kevin Brady said lawmakers are determined to eliminate the alternative minimum taxes (AMTs) on corporations and individuals that the Senate bill retained.  “House members ... feel strongly that the House position should be to repeal permanently both the individual and the corporate,” said Brady, who is expected to chair the House-Senate negotiations that could begin next week. The corporate and individual AMTs are designed to limit the ability of corporations and wealthy individuals to reduce their payments through tax breaks and credits. But jettisoning them could require tough decisions on how to keep the legislation below a $1.5 trillion ceiling on revenue losses. Republicans must also bridge differences on taxes for corporate and pass-through businesses, top earners, inheritances, individual tax brackets and repeal of the Obamacare individual health insurance mandate. Republicans hope to approve a final bill and deliver it to Trump’s desk before Christmas. If they succeed, it will be the first major U.S. tax overhaul in 31 years and the first big Republican legislative victory since Trump took office in January.   The House voted to go to conference with the Senate on Monday, and Republicans named nine conference delegates. Senate Republicans could name delegates as early as Wednesday. “My hope is that we’re done with this within 10 days to two weeks,” said Representative Kristi Noem, a Republican conference delegate and member of Brady’s committee. House Republicans are also considering a new approach to the deduction for state and local taxes. Both the House and Senate bills eliminate deductions for income and sales taxes but retain one for $10,000 in property taxes.  Republicans from high-tax states, including New York and New Jersey, have been angered by the change. But Brady said Republicans are considering the possibility of giving taxpayers an option to deduct $10,000 in state and local property taxes, income taxes or sales taxes. ",House tax positions begin to emerge ahead of talks with Senate
"MOSCOW (Reuters) - Russia has suspended its diplomatic presence in Yemen and all its staff have left the country due to the situation in the capital Sanaa, the RIA news agency cited Russian Foreign Ministry spokeswoman Maria Zakharova as saying on Tuesday. The Russian ambassador to Yemen and some diplomatic staff will be working temporarily out of the Saudi capital Riyadh, the Interfax news agency cited the ministry as saying. Yemen s conflict, pitting the Houthi movement against a Saudi-led military alliance which backs a government based in the south, has unleashed what the United Nations calls the world s worst humanitarian crisis. A Russian plane evacuated embassy staff and some Russian nationals from Sanaa earlier on Tuesday, Saudi state news agency SPA said, citing the Saudi-led military coalition fighting against the Houthi movement that controls the Yemeni capital. The agency quoted an official source in the coalition as saying it had received a request for permission for a Russian plane to evacuate the personnel, and that the plane had left Sanaa airport. ","Russia suspends diplomatic presence in Yemen, moves envoy to Riyadh: agencies"
"BRUSSELS (Reuters) - U.S. President Donald Trump is strongly committed to working with the European Union toward common objectives of peace and prosperity, U.S. Vice President Mike Pence said on Monday. “Today is my privilege on behalf of President Trump to express the strong commitment of the United States to continue cooperation and partnership with the European Union,” Pence said in a statement read out after his meeting with European Council President Donald Tusk. “Whatever our differences, our two continents share the same heritage, the same values and above all, the same purpose to promote peace and prosperity through freedom, democracy and the rule of law. And to those objectives we will remain committed,” he continued. ","Trump strongly committed to partnership with EU, says VP Pence"
"Over the course of the U.S. presidential campaign, Donald Trump changed his mind on many issues. But he’s been consistent on one foreign policy question: he wants to end American support for Syrian opposition groups fighting Bashar al-Assad’s regime. Trump argues that the United States should expend all of its efforts on fighting Islamic State instead.  ""I’ve had an opposite view of many people regarding Syria,” Trump told the Wall Street Journal on Nov. 11, in his first interview after he won the White House. “My attitude was you’re fighting Syria, Syria is fighting ISIS, and you have to get rid of ISIS. Russia is now totally aligned with Syria, and now you have Iran, which is becoming powerful, because of us, is aligned with Syria. … Now we’re backing rebels against Syria, and we have no idea who these people are.”  Even if Trump goes ahead with his threat to cut off aid to Syrian rebels fighting the Assad regime – especially those supported by a covert CIA program which provides training and anti-tank missiles – the president-elect will face another major test of his Syria policy soon after he’s inaugurated on Jan. 20. The United States is supporting two military campaigns simultaneously in Syria: one against Assad’s government and the other against Islamic State. Trump has made clear that he doesn’t view the fight against Assad as a U.S. priority. But will Trump continue a separate Pentagon support and training program for the Syrian Democratic Forces, a coalition of rebel groups, which is leading a ground offensive to oust Islamic State from the city of Raqqa, capital of its self-proclaimed caliphate?  That campaign started on Nov. 6 with a mobilization of about 30,000 rebels to encircle Raqqa and cut it off from all sides, to deny Islamic State the ability to resupply weapons and fighters. The battle to push the jihadists out of Raqqa could take months. If it falters under a fledging Trump administration, Islamic State would have a safe base from which it would unleash new attacks in Syria and Iraq, and against the West.  U.S. military planners pushed for the Raqqa offensive to start soon after the long-awaited invasion to recapture Iraq’s second-largest city, Mosul, from the militants began in mid-October. Pentagon officials say they fear that Islamic State operatives, including some who fled the Mosul offensive, will use Raqqa to plot attacks against Western targets. “There’s a sense of urgency about what we have to do here because we’re just not sure what they’re [jihadists] up to, and where, and when,” the top U.S. military commander in Iraq, Lt. General Stephen Townsend, said at a news conference on Oct. 26  in Baghdad. “But we know that this plot planning is emanating from Raqqa.”  Trump says he wants to avoid direct U.S. involvement in the Syrian conflict, which has expanded into a regional proxy war. Russia and Iran, along with allied militias like Lebanon’s Hezbollah, are helping Assad consolidate control and recapture territory he lost to the rebels and jihadist groups. Assad and his backers have rarely fought directly against Islamic State, which controls Raqqa and other parts of eastern Syria. Turkey, Saudi Arabia, Qatar and the United States are backing various rebel factions that are fighting Assad and his allies, and, at times, Islamic State.  Under Barack Obama’s administration, the CIA has funneled up to $1 billion a year in weapons, including light arms, ammunition and anti-tank missiles, to Syrian rebel groups fighting the Assad regime that were deemed moderate by U.S. officials. But some of these rebels have been forced into battlefield alliances with jihadists, including al Qaeda affiliated groups.  While the offensive against Islamic State in Raqqa began in the waning days of the Obama administration, it needs support from the incoming Trump administration to bear fruit. But the Raqqa operation is already alienating American allies, especially Turkey, which is critical of the Syrian Democratic Forces. The SDF is a coalition of Kurdish, Sunni Arab, Christian and Turkmen rebel groups that is anchored by the People’s Protection Units (known by its Kurdish acronym, YPG), which includes thousands of Syrian Kurdish fighters.  Turkish leaders view the YPG and other Syrian Kurdish groups as allies of the Kurdistan Workers’ Party (known as the PKK), which has waged an insurgency against the Turkish government since the 1980s, seeking autonomy for Kurdish areas. Turkish President Recep Tayyip Erdogan insists that Washington must not allow the YPG to take a leading role in expelling Islamic State from Raqqa, a largely Sunni Arab city.  During the presidential campaign, Trump argued the United States should arm and help Kurdish factions, both in Iraq and Syria. “I’m a big fan of the Kurdish forces,” he said in July. If Trump follows through on his praise of the Kurds, that would be good news for the SDF and its largest militia, the YPG.  But once in office, Trump would also have to balance the objections of allies like Turkey and Erdogan, its increasingly autocratic president. Among his first top appointments, Trump named Michael Flynn, a retired general and former head of the Defense Intelligence Agency, as his national security adviser. Flynn, who once worked as a paid lobbyist for a prominent Turkish businessman, has expressed strong support for Erdogan’s government and argued that Washington should be more sympathetic to its concerns.  In late August, Turkey sent several hundred of its special forces into Syria, and began carrying out air strikes to help rebel factions allied with Ankara consolidate control of territory near the Turkish-Syrian border. The Turkish-backed rebels have fought both Islamic State jihadists and occasionally the U.S.-backed YPG militia.  In October, Erdogan said he told Obama in a phone call that Turkey was capable of ousting Islamic State from Raqqa on its own. Other Turkish officials argued that the campaign to retake Raqqa should not begin until Iraqi forces complete their offensive against Islamic State in Mosul, which has slowed in recent weeks.  But U.S. officials are keen to isolate Raqqa and use Syrian forces to encircle it, mainly because of worries about Islamic State operatives fleeing from Mosul and plotting new attacks against the West. That concern is genuine because the jihadist group – even as it was weakened over the past year, after intensive U.S.-led bombing and defeats by its opponents in Iraq and Syria – has shown a significant ability to adapt and inflict new terror.  In the coming months, Islamic State will find new ways to endure an American-orchestrated offensive on Raqqa. It will try to take advantage of the change in U.S. administration. And once he’s in office, Trump will discover that fighting and containing Islamic State inevitably means wading into Syria’s complicated war.  ",Commentary: Trump can't fight Islamic State without wading into Syria's war
"WASHINGTON (Reuters) - Senate Republican leader Mitch McConnell told President Barack Obama’s Supreme Court nominee Merrick Garland by phone on Wednesday that Republicans will not act on his nomination or meet with him, a McConnell spokesman said.”Rather than put Judge Garland through more unnecessary political routines orchestrated by the White House, the leader decided it would be more considerate of the nominee’s time to speak with him today by phone,” McConnell spokesman Don Stewart said in a statement.  McConnell told the appellate court judge that “since the Senate will not be acting on this nomination, he would not be holding a perfunctory meeting, but he wished Judge Garland well,” Stewart added.  ",Top Senate Republican tells Supreme Court nominee: Senate will not act
"(Reuters) - A Michigan judge on Tuesday dismissed charges against a former state representative, while ruling another lawmaker should stand trial after he tried to hide their extramarital affair, according to a prosecutor’s office spokeswoman. Ingham County District Judge Hugh Clarke ruled that former State Representative Todd Courser should stand trial for perjury  and one count of misconduct for his attempted cover-up of the affair with fellow lawmaker Cindy Gamrat, said Andrea Bitely, a spokeswoman for the Michigan attorney general’s office. Prosecutors originally charged Courser with three counts of misconduct while in office and perjury, but the judge dismissed two of the misconduct charges. Clarke also dismissed the two criminal misconduct-in-office charges against Gamrat due to insufficient evidence that she knowingly lied to House investigators about an email that Courser sent to distract from their affair, Bitely said. Prosecutors will not appeal the dismissed charges against Gamrat, but they are reviewing their options regarding the charges against Courser that were not sent to trial, Bitely said.  An attorney for Courser, Matthew DePerno, maintained his client is not guilty, and said he believed there was not enough evidence to support the perjury or misconduct charge. Courser is due back in court in late June.      A lawyer for Gamrat, Mike Nichols, said the charges against his client stem from a house investigation that arose from a political dispute. The former legislators faced charges of misconduct related to Courser’s failed attempt to cover up their affair. He had devised a plan to distribute an email falsely claiming he had sex with a male prostitute in a move meant to blunt the political impact of the actual affair if it was ever revealed, according to the Detroit News.  The two former lawmakers also were charged with misconduct for allowing their employees to forge their signature on proposed legislation. ",Ex-Michigan lawmaker to stand trial; charges dismissed against another
"TOKYO (Reuters) - Japan Airlines Co (9201.T) said on Monday it has begun screening passengers from the seven Muslim-majority countries affected by the President Donald Trump’s travel ban before their departure for the United States. Officials at Japan’s second biggest carrier will contact the U.S. Customs and Border Protection agency when passengers from those countries check in at the airport before departure to confirm whether they will be allowed entry, a spokesman for the airline said. ",JAL to screen majority-muslim country passengers before departure for U.S.
"GENEVA (Reuters) - President Joseph Kabila has agreed to help aid reach a region of the Democratic Republic of Congo where ethnic conflict has spawned a humanitarian emergency, the head of the U.N. s World Food Programme said on Monday. WFP Executive Director David Beasley said he had also asked Congo s Prime Minister Bruno Tshibala to waive $9 million in administrative fees the organization had paid to the government, saying the sum could feed tens of thousands of people.  This country is destabilizing and it needs attention because if we don t give the attention now it could impact the entire region,  Beasley told reporters by phone from Kinshasa.  The conflict in Kasai region turned Congo into the world s biggest displacement crisis this year. Although many people have started going home, Beasley said Congo still had about 600,000 children on the brink of starvation and 7.7 million severely malnourished people. While visiting Kasai, where WFP has 1 percent of the $135 million needed for the next eight months, he said he saw horror in the eyes of women and children as they told of beheadings and brutality.   The Kasai region, it was rather appalling, in ways that are truly hard to explain, in ways you actually don t want to explain,  he said. Beasley said he met Kabila for about 45 minutes before meeting ministers and explained that the trust of aid donors needed to be rebuilt and that the government must provide access, safety and visas.   He gave me his assurances that he would do everything possible to address any and all needs that we brought to his attention,  Beasley said. Beasley, a former governor of the U.S. state of South Carolina, told Congo s prime minister that WFP had paid the government $9 million in administrative fees  just for access, just for being here , and asked him to scrap the fees.  As I told the government, the prime minister, and the ministers, if you take that $9 million and I m feeding people at 31 cents a day, you can do the math - that s 75,000 people, give or take, that we can feed in an entire year,  he said. Asked about the $9 million, government spokesman Lambert Mende said:  That s the first time I ve heard of anything like that.   We know that we have humanitarian needs because many people (in Kasai) are returning to their homes and we are working with our partners on that,  Mende said. Beasley said there was donor fatigue but addressing the Kasai situation immediately would save lives and money. ",WFP chief gets pledge from Congo's president on food aid access
